Image URL,Title,Edition,rating-avg,isbn10,isbn13,Publication date,language,Publishers,Tags
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502062734l/35926363._SX318_.jpg,Higher Engineering Mathematics,44,4.35,9.78819E+12,978-8193328491,1/1/1965,English,KHANNA PUBLISHERS,Mathematics
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502642194l/36013370._SX318_.jpg,Computer Fundamentals and Programming,2,4.6,9.7802E+12,978-0199463732,6/27/2016,English,Oxford University Press,Programming
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543234220l/42957746.jpg,Machine Learning For Absolute Beginners,2,4.3,1549617214,978-1549617218,1/1/2018,English,Independently Published,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540564603l/42443025._SX318_.jpg,Machine Learning (in Python and R) For Dummies,1,4.2,9.78813E+12,978-8126563050,1/1/2016,English, Wiley,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497392811l/33503613.jpg,Machine Learning – The New AI,1,4.05,262529513,978-0262529518,11/11/2016,English,MIT Press,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525144439l/40011158._SX318_.jpg,Pattern Recognition and Machine Learning,1,4.4,387310738,978-0387310732,2/15/2010,English,Springer ,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481562985i/26263169._UY500_SS500_.jpg,Fundamentals of Machine Learning for Predictive Data Analytics,1,4.5,262029448,978-0262029445,9/4/2015,English,MIT Press,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576901511l/49584059._SY475_.jpg,Machine Learning: The Art and Science of Algorithms that Make Sense of Data,1,4.08,1107096391,978-1107096394,9/20/2012,English,Cambridge University Press,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371685521l/1741472.jpg,Programming Collective Intelligence: Building Smart Web 2.0 Applications,1,4,596529325,978-0596529321,9/4/2007,English,O′Reilly ,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329074818l/13482301.jpg,Machine Learning for Hackers: Case Studies and Algorithms to Get You Started,1,3.2,596529325,978-9350236741,1/1/2012,English,Shroff,Machine Learning
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408313138l/8835305.jpg,Artificial Intelligence: A Modern Approach,3,4.32,596529325,978-9350236741,11/30/2009,English,Prentice Hall,Artificial Intelligence
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459408995l/29746976._SY475_.jpg,Make Your Own Neural Network,1,4.42,596529325,978-9350236741,4/16/2016,English,CreateSpace Independent publishing platform,Artificial Intelligence
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387163340i/19491115._UY410_SS410_.jpg,"Artificial Intelligence for Humans, Volume 1: Fundamental Algorithms",1,3.7,1493682229,978-1493682225,11/26/2013,English,CreateSpace Independent Publishing Platform,Artificial Intelligence
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348254574l/12792048.jpg,Artificial Intelligence: The Basics,1,4.23,415564832, 978-0415564830,8/18/2011,English,Routledge,Artificial Intelligence
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556219069l/42353996.jpg,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",2,4.7,1593279280, 978-1593279288,5/3/2019,English,No Starch Press,Python Programming
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328761614l/8933914.jpg,Head First Python 2e: A Brain-Friendly Guide,2,4.38,1491919531,978-1491919538,12/16/2016,English,O′Reilly,Python Programming
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498900198l/35561829._SX318_.jpg,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code ,3,4.33,134692888, 978-0134692883,7/18/2017,English,Addison-Wesley ,Python Programming
